genic_region_type,BUD13,DGCR8,DROSHA,EWSR1,FASTKD2,FUS,HNRNPA1,HNRNPC,HNRNPK,HNRNPM,IGF2BP1,IGF2BP2,ILF3,KHSRP,LARP7,LIN28B,LSM11,NOLC1,PTBP1,RBFOX2,RBM15,RPS3,SAFB,SLBP,SSB,TAF15,TARDBP,TRA2A,U2AF1,UPF1
miRNA,0.048372845590894345,0.853787181196925,0.0,0.01897661603026784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014384298100193827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00536898380753229,0.10150844535337628,0.0
5utr,0.2682409433730133,0.0,0.0,0.39917381077391134,0.0,0.0,0.0,0.0,0.6228628992210666,0.0,0.0,0.09366147145401359,0.304713374879981,0.052416231437143274,0.19896528157885784,0.00833281787376614,0.0,0.12649899746893406,0.045811442670832786,0.0,0.0412202698803488,0.0,0.0,0.0,0.0,0.0,0.005070460969435261,0.08267760632040885,0.47738824741190783,0.004310932682042849
intergenic,91.7941385905327,90.80767561731989,75.38450704225352,88.67464474077975,60.76854334226988,72.31256042893557,26.50318321150672,19.218191497452278,60.63194336062202,94.69664417995102,91.47610018263671,83.34156730884578,89.52375387027521,86.80135277496038,23.71608019222384,91.54055534385212,97.82296539904581,86.29272655039686,85.76480062817335,87.71784829559331,40.24222529500597,100.0,15.588268279711881,97.47434775968121,96.52504904728102,57.33426551994943,90.9046301605769,90.06983909297858,88.68330111435374,81.4253863771392
distnoncoding_intron500,3.856872299415797,1.1783674318998882,9.943661971830986,2.471607277130552,0.0,2.106589317629135,0.0,0.4182827591451821,26.89235396773599,1.0946160787178276,2.9624373276874927,9.102837385372057,4.85052916236636,3.8853194608798227,70.2686989946594,3.231691116543111,0.0,3.7422801083360873,6.611875610373251,5.300102927322842,2.953807066653176,0.0,0.15918209346159554,0.0,1.1514233493004824,2.238588695002586,3.7408708655000305,2.6100535921842463,4.692974272087417,7.928784959704537
distintron500,1.2945095422195214,0.7193686208514587,12.842253521126763,1.1781431214995846,0.0,0.0,0.0,0.0,0.5959052794370113,2.363253555622395,0.16728127217523817,1.266435121596653,1.8293590716374006,0.8891155330686626,1.4717369724745106,2.394659561123302,0.0,2.037437493927224,1.475599412757245,2.6686961376085967,0.6514676289726036,0.0,0.1808887425699949,0.0,1.6757122335936145,0.2716110866358918,1.2883810847836388,0.8986129084050177,1.2261623090185776,1.7821199756079593
noncoding_exon,1.670587445801908,4.465800884128378,1.491549295774648,2.1092162429029013,39.23145665773012,25.580850253435294,73.49681678849326,77.74545592820748,1.390445652019693,1.0935418725561812,2.845410234635831,3.9525921761616463,1.4098050567999971,7.733415800883993,2.1220077124558943,1.4011312761742623,2.1770346009541894,5.009327081166272,3.8531704729410645,2.50950769338125,51.9870043730959,0.0,83.87666281976607,2.5256522403187964,0.20066067106741417,39.91437929779531,3.2943476344916727,5.392432587327925,2.202285432791706,3.9905128128757372
3utr,0.27942541634200624,0.21168277219758472,0.0,0.544123298692698,0.0,0.0,0.0,1.6712297513118868,0.0,0.0,2.000162860765678,0.9991858301799337,0.3001643406057947,0.1626397980590556,0.654290865347447,0.6926174118075388,0.0,1.1184001102857635,0.08344532875275991,0.8849132968144866,0.04496756714219869,0.0,0.0,0.0,0.0,0.14174344436569808,0.1460984185693187,0.17280378811459596,1.2148172474790826,1.2000264926408462
proxnoncoding_intron500,0.6871926600032062,0.4724053866209432,0.0,0.8582624774886428,0.0,0.0,0.0,0.9468400638831854,9.130120174231353,0.2578094787951704,0.5486081220990425,1.1026428931918508,1.2292191843383762,0.3131006026518839,0.8595028032643417,0.5054815519424599,0.0,0.706221122572878,1.6353828744839254,0.5704616028749869,3.090583416710697,0.0,0.1949980644904545,0.0,0.4471546987574688,0.04980175072308311,0.5233868097950243,0.5500005989698431,0.560386329200845,2.7780042106055216
proxintron500,0.022368945937985822,0.8961237356364419,0.3380281690140845,1.4625845887853877,0.0,0.0,0.0,0.0,0.7363686667328784,0.0,0.0,0.1106263003115424,0.4086848795854445,0.062218238251008307,0.5899688594904335,0.1864948738747891,0.0,0.48169530376464514,0.21959522379317886,0.0,0.60312749429474,0.0,0.0,0.0,0.0,0.04961020552799435,0.0972145653139906,0.17149910132778767,0.3491591965905105,0.5414139545674724
stop_codon,0.0,0.0,0.0,0.002631793464051744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005391103747625769,0.0,0.0,0.0,0.006509568650683962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS,0.07829131078295037,0.39478837014849555,0.0,2.280636032452229,0.0,0.0,0.0,0.0,0.0,0.49413483435740996,0.0,0.03045151288652659,0.1293867614112435,0.09503045606042151,0.11874831850525551,0.03903604680864292,0.0,0.47890366343064233,0.31031900605438884,0.3484700464045218,0.38559688824435373,0.0,0.0,0.0,0.0,0.0,0.0,0.04671174056406038,0.4920174057128356,0.3494402841766824
